                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4237,                 3.4288,                 1.1661,                0.35625,                0.29325,                 0.2399,                0.10394,                 2.0705,                 2.3645,                 1.0694,             0.00017336,             0.00017336,             0.00017336
                      1,                 2.1141,                 1.8788,                 1.0542,                0.47765,                0.38967,                0.36372,                0.16821,                 1.9521,                 2.0079,                 1.0246,             0.00033144,             0.00033144,             0.00033144
                      2,                 2.0072,                 1.8798,                 1.0097,                0.50961,                0.42449,                0.39379,                0.18506,                 1.9275,                 1.8959,                 1.0289,             0.00047215,             0.00047215,             0.00047215
                      3,                 1.9614,                 1.5893,                 1.0068,                0.55698,                0.46071,                0.44866,                0.22585,                 1.7805,                  1.483,                0.99368,             0.00044789,             0.00044789,             0.00044789
                      4,                  1.894,                 1.4349,                0.99829,                0.55513,                0.47753,                0.46141,                0.23659,                 1.7204,                 1.3857,                0.97547,             0.00044789,             0.00044789,             0.00044789
                      5,                 1.8213,                 1.4764,                0.97577,                0.54665,                0.47393,                0.45807,                0.23472,                 1.7462,                  1.381,                0.97742,             0.00042185,             0.00042185,             0.00042185
                      6,                 1.8007,                 1.3696,                0.98616,                0.53433,                0.49438,                0.47402,                0.24604,                 1.7528,                   1.25,                0.97339,             0.00039581,             0.00039581,             0.00039581
                      7,                 1.7675,                  1.268,                0.95776,                 0.5982,                0.50545,                0.51154,                 0.2718,                 1.6511,                 1.1983,                0.95496,             0.00036978,             0.00036978,             0.00036978
                      8,                 1.7249,                 1.2353,                0.94916,                0.60038,                0.51111,                0.51351,                0.27405,                 1.6237,                 1.1582,                0.95009,             0.00034374,             0.00034374,             0.00034374
                      9,                 1.7116,                 1.2354,                0.95119,                0.61439,                0.52858,                0.52233,                 0.2766,                 1.6469,                 1.3304,                0.94941,              0.0003177,              0.0003177,              0.0003177
                     10,                 1.7847,                 1.5357,                0.96032,                0.60951,                0.51098,                 0.5031,                0.27265,                 1.6473,                 1.2429,                 0.9513,             0.00029167,             0.00029167,             0.00029167
                     11,                  1.731,                 1.4148,                0.96587,                0.60189,                0.51194,                0.50407,                0.26367,                 1.6475,                 1.6971,                0.94567,             0.00026563,             0.00026563,             0.00026563
                     12,                 1.6184,                 1.5604,                0.94144,                0.60023,                0.50425,                0.51252,                0.28088,                 1.6146,                 1.1835,                   0.94,             0.00023959,             0.00023959,             0.00023959
                     13,                 1.6841,                 1.3281,                 0.9583,                0.62244,                0.52466,                0.52902,                  0.295,                 1.6263,                 1.1454,                0.94642,             0.00021356,             0.00021356,             0.00021356
                     14,                 1.6541,                  2.193,                0.93014,                0.61999,                0.53845,                  0.538,                0.29402,                 1.5828,                 1.0805,                0.93815,             0.00018752,             0.00018752,             0.00018752
                     15,                 1.6793,                 1.2348,                0.95283,                0.63731,                0.52334,                0.53779,                0.29556,                 1.6014,                 1.1224,                0.93902,             0.00016148,             0.00016148,             0.00016148
                     16,                 1.6288,                 1.1745,                0.93952,                0.64861,                0.53353,                0.54443,                0.29926,                 1.6006,                 1.0888,                0.93863,             0.00013544,             0.00013544,             0.00013544
                     17,                   1.72,                 1.8892,                0.93156,                0.65849,                0.53433,                0.54971,                0.29655,                  1.593,                 1.0857,                0.93174,             0.00010941,             0.00010941,             0.00010941
                     18,                 1.5578,                 1.3485,                 0.9183,                0.64819,                 0.5468,                0.55389,                0.31355,                 1.5392,                 1.0866,                0.93083,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     19,                 1.5788,                 1.5715,                0.93297,                0.66302,                0.52284,                 0.5406,                0.30314,                 1.5421,                 1.0642,                0.92643,             5.7334e-05,             5.7334e-05,             5.7334e-05
