                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2739,                 3.9312,                 1.2353,                0.80446,                0.08343,                0.09359,                0.05624,                 2.1576,                 3.0498,                 1.1226,             0.00017336,             0.00017336,             0.00017336
                      1,                 2.1308,                 2.4441,                 1.0938,                0.53131,                0.17741,                0.15723,                0.08875,                 2.0273,                 2.0024,                 1.0623,             0.00023363,             0.00023363,             0.00023363
                      2,                 2.0644,                 1.9903,                 1.0652,                0.58826,                0.18178,                0.17646,                0.10064,                 1.8942,                 1.6749,                 1.0388,             0.00017817,             0.00017817,             0.00017817
